"Code","Display","Codesystem","Category"
"372703009","Pentobarbital ","http://snomed.info/sct","medication"
"372722000","Substance with quinolone structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"372724004","Succinylcholine ","http://snomed.info/sct","medication"
"372733002","Substance with angiotensin-converting enzyme inhibitor mechanism of action ","http://snomed.info/sct","medication"
"372735009","Vancomycin ","http://snomed.info/sct","medication"
"372784001","Papaverine ","http://snomed.info/sct","medication"
"372787008","Vasodilator ","http://snomed.info/sct","medication"
"372788003","Substance with sulfonamide structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"372790002","Nondepolarizing agent ","http://snomed.info/sct","medication"
"372798009","Barbiturate ","http://snomed.info/sct","medication"
"372810006","Theophylline ","http://snomed.info/sct","medication"
"372813008","Antiarrhythmic agent ","http://snomed.info/sct","medication"
"372855004","Class III antiarrhythmic agent ","http://snomed.info/sct","medication"
"372862008","Anticoagulant ","http://snomed.info/sct","medication"
"372872006","Bile acid sequestrant antilipemic agent ","http://snomed.info/sct","medication"
"372877000","Heparin ","http://snomed.info/sct","medication"
"372901004","Secbutabarbital ","http://snomed.info/sct","medication"
"372906009","Substance with benzodiazepine receptor antagonist mechanism of action ","http://snomed.info/sct","medication"
"372913009","Substance with angiotensin II receptor antagonist mechanism of action ","http://snomed.info/sct","medication"
"373206009","Substance with tetracycline structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"373219008","Substance with antifungal mechanism of action ","http://snomed.info/sct","medication"
"373246003","Substance with acetylcholine receptor antagonist mechanism of action ","http://snomed.info/sct","medication"
"373250005","Depolarizing agent ","http://snomed.info/sct","medication"
"373254001","Substance with beta adrenergic receptor antagonist mechanism of action ","http://snomed.info/sct","medication"
"373260001","Class I antiarrhythmic agent ","http://snomed.info/sct","medication"
"373263004","Cardiac adrenergic blocking agent ","http://snomed.info/sct","medication"
"373265006","Analgesic ","http://snomed.info/sct","medication"
"373278006","Class II antiarrhythmic agent ","http://snomed.info/sct","medication"
"373288007","General anesthetic ","http://snomed.info/sct","medication"
"373294004","Low molecular weight heparin ","http://snomed.info/sct","medication"
"373297006","Substance with beta-lactam structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"373304005","Substance with calcium channel blocker mechanism of action ","http://snomed.info/sct","medication"
"373337007","Methylphenidate ","http://snomed.info/sct","medication"
"373464007","Ketamine ","http://snomed.info/sct","medication"
"373476007","Midazolam ","http://snomed.info/sct","medication"
"373477003","Local anesthetic ","http://snomed.info/sct","medication"
"373488009","Methohexital ","http://snomed.info/sct","medication"
"373508009","Aminophylline ","http://snomed.info/sct","medication"
"373529000","Morphine ","http://snomed.info/sct","medication"
"373530005","Caloric agent ","http://snomed.info/sct","medication"
"373738000","Pancuronium ","http://snomed.info/sct","medication"
"373746004","Coagulant ","http://snomed.info/sct","medication"
"373780001","Mescaline ","http://snomed.info/sct","medication"
"375876000","Product containing precisely thyroid hormone 60 milligram/1 each conventional release oral tablet (clinical drug)","http://snomed.info/sct","medication"
"376197009","Product containing precisely thyroid hormone 120 milligram/1 each conventional release oral tablet (clinical drug)","http://snomed.info/sct","medication"
"376198004","Product containing precisely thyroid hormone 180 milligram/1 each conventional release oral tablet (clinical drug)","http://snomed.info/sct","medication"
"377428005","Product containing precisely pituitary follicle stimulating hormone 75 unit and pituitary luteinizing hormone 75 unit/1 vial powder for conventional release solution for injection (clinical drug)","http://snomed.info/sct","medication"
"384953001","Medicinal product acting as antidiabetic agent ","http://snomed.info/sct","medication"
"386693003","Product containing phenylephrine in ocular dose form (medicinal product form)","http://snomed.info/sct","medication"
"386839004","Remifentanil ","http://snomed.info/sct","medication"
"386841003","Desflurane ","http://snomed.info/sct","medication"
"386842005","Sevoflurane ","http://snomed.info/sct","medication"
"386910003","Anastrozole ","http://snomed.info/sct","medication"
"386936005","Azelaic acid ","http://snomed.info/sct","medication"
"387056004","Linezolid ","http://snomed.info/sct","medication"
"387085005","Cocaine ","http://snomed.info/sct","medication"
"387124009","Thromboplastin ","http://snomed.info/sct","biologic"
"387146001","Droperidol ","http://snomed.info/sct","medication"
"387150008","Bupivacaine ","http://snomed.info/sct","medication"
